Index,Drum Machine,Duration,Equal Loudness,RMS,Temporal Centroid,Spectral Centroid,Spectral Centroid 1,Spectral Centroid 2,Spectral Kurtosis,Pitch Salience
1,Ace Tone Rhythm-Ace,0.313469388,2.880778074,-7.270147487,0.153441355,183.5852966,205.2973785,109.1070709,41.36108017,0.95826143
2,Ace Tone Rhythm-Ace,0.293151927,2.908781528,-6.916081136,0.144455597,199.4968262,224.0298615,121.305687,34.15278625,0.958994925
3,Ace Tone Rhythm-Ace,0.272108844,2.925348997,-6.556101431,0.1337962,205.6146851,228.4785309,105.323494,36.8675499,0.964887381
4,Ace Tone Rhythm-Ace,0.323628118,2.903768778,-7.357132569,0.158625171,336.6539612,381.2477112,178.6679382,26.83065033,0.954224408
5,Ace Tone Rhythm-Ace,0.308390023,2.883270979,-7.193591481,0.150781229,239.8169861,265.2793274,197.6039276,21.2943306,0.950016081
6,Ace Tone Rhythm-Ace,0.258321995,2.936493397,-6.305641814,0.127491057,177.3304749,199.1298523,67.1653595,110.1857834,0.970039606
7,Ace Tone Rhythm-Ace,0.243809524,2.973394394,-5.973586805,0.120419808,198.0627441,221.3066559,97.92089844,43.68810272,0.97187835
8,Ace Tone Rhythm-Ace,0.235827664,2.486185074,-6.989013749,0.116696171,179.2713776,201.0308838,58.27585983,119.8450165,0.974969566
9,Ace Tone Rhythm-Ace,0.293151927,2.923322201,-6.883759192,0.143767208,181.3714142,202.7086945,62.75249481,96.15750122,0.962791622
10,Ace Tone Rhythm-Ace,0.150929705,4.0780797,-1.843018312,0.079847798,149.6774292,162.5710144,110.212265,170.8225861,0.99187088
18,Ace Tone Rhythm-Ace,0.647981859,2.978440762,-10.20771709,0.303961903,210.0148773,253.2554779,358.6121216,36.50665283,0.882339239
19,Ace Tone Rhythm-Ace,0.629115646,2.55115509,-11.08315627,0.297777295,109.101326,129.0884552,693.0194702,24.02070618,0.94267875
20,Ace Tone Rhythm-Ace,0.650884354,3.151614666,-9.860645185,0.305604041,171.9006042,205.0138092,385.9003601,37.33667755,0.862079322
34,Akai MPC-60,0.378049887,18.11896133,3.83606683,0.187791109,2394.666016,2675.769043,456.500946,4.218601227,0.412630975
35,Akai MPC-60,0.261950113,3.986810207,-4.384175761,0.12998949,2767.523926,2848.170166,1988.705444,0.976062953,0.767972708
39,Akai MPC-60,0.237278912,22.92036057,7.382669934,0.123116806,2346.117188,2769.021484,973.5015869,3.105680466,0.452367485
43,Akai XE-8,0.292426304,2.00012517,-9.333660948,0.146621659,1674.802734,1931.866211,311.1459961,5.55207634,0.7026968
44,Akai XE-8,0.394013605,2.533628225,-9.09565024,0.195085555,1165.656006,1295.393433,698.7851563,3.893346071,0.782539845
45,Akai XE-8,0.513741497,2.785503626,-9.63364327,0.248911932,1331.634521,1373.834229,1089.988403,2.875417233,0.6514768
46,Akai XE-8,0.52244898,3.437131405,-8.344062834,0.254477412,1368.519653,1574.846802,1127.848022,4.101463795,0.717893243
47,Akai XE-8,0.545668934,5.877392292,-5.055475134,0.26848498,1154.321899,1354.126221,652.043457,3.377939701,0.812011719
52,Akai XE-8,0.351927438,2.924264431,-7.65232182,0.173267201,1163.842529,1259.196167,800.9924316,4.161420345,0.795316756
53,Akai XE-8,0.214058957,3.206754684,-4.901609143,0.109611057,1331.683228,1379.348755,1054.777222,3.487584352,0.744985342
54,Akai XE-8,0.415056689,3.957344055,-6.410697577,0.204474598,1368.501709,1587.677856,807.5700073,4.171837807,0.73418355
55,Akai XE-8,0.18430839,2.30380559,-6.378569503,0.094018839,1674.456055,1924.085205,377.6749878,7.806758404,0.702777028
60,Akai XR-10,0.214058957,9.926189423,2.433158041,0.10815651,2234.993164,2281.985596,1176.962036,2.03039217,0.629330516
61,Akai XR-10,0.141496599,10.68947887,4.714981622,0.071721643,2931.705078,3003.307373,915.0482178,1.566623688,0.553819954
62,Akai XR-10,0.187210884,6.91260004,0.642099613,0.094397329,3042.77417,3112.467773,2454.288818,0.678527594,0.775408268
63,Akai XR-10,0.274285714,13.26677608,3.209110192,0.136092901,3331.158691,3440.60376,2772.272705,2.467593431,0.596407235
64,Akai XR-10,0.056598639,5.675293922,4.702221154,0.029355589,351.3952026,352.4976196,106.8236237,32.10187149,0.995205522
65,Akai XR-10,0.187936508,14.20942974,5.295973691,0.095588252,3356.127686,3615.776367,385.6325073,2.288055897,0.538470328
66,Akai XR-10,0.101587302,5.213307858,1.46823997,0.054052141,2000.94458,2138.819824,514.5231323,4.822059155,0.784184933
67,Akai XR-10,0.240907029,10.30970287,2.155233627,0.120362647,2595.46167,2691.012939,1056.005249,1.002965689,0.695934653
68,Akai XR-10,0.367165533,13.77031708,2.183993493,0.18025434,3354.521973,3470.592041,2406.341797,1.530319095,0.268742025
69,Akai XR-10,0.236553288,10.17215061,2.130170437,0.120927989,1430.28186,1957.226074,219.3925934,21.82156563,0.847216308
80,Akai XR-10,0.254693878,6.355924129,-1.238993998,0.129828036,2439.163818,2552.37793,1078.591675,2.794339657,0.600276828
81,Akai XR-10,0.263401361,7.733375072,-0.113116983,0.134693772,1329.951782,1902.21521,231.3802032,19.74277306,0.871733665
82,Akai XR-10,0.150204082,7.763803959,2.350671144,0.076904044,2955.305908,3039.248535,427.1582947,1.745329499,0.577512741
83,Akai XR-10,0.199546485,5.148415565,-1.544998144,0.100581542,3077.932373,3156.602783,2465.140137,1.843811393,0.760164738
84,Akai XR-10,0.318548753,11.75609875,1.775767678,0.157701761,3362.882568,3474.359131,2992.954102,2.220729828,0.549290299
85,Akai XR-10,0.209705215,3.095138311,-5.059059885,0.105148062,372.7513733,373.8790588,3153.900391,8.019117355,0.953038812
86,Akai XR-10,0.177052154,10.49249268,3.588875213,0.09063258,3400.654785,3673.844238,390.4882813,2.418726206,0.532906413
87,Akai XR-10,0.261950113,3.105969906,-6.002509449,0.131290793,2012.173462,2179.414307,3167.668457,3.243115187,0.808546066
88,Akai XR-10,0.213333333,6.534568787,-0.290182374,0.108241066,2698.974854,2806.32373,1418.397705,1.579599977,0.669707656
89,Akai XR-10,0.357732426,11.24291706,0.982351767,0.176880613,3334.788818,3447.598389,2528.610107,1.785447598,0.269360363
100,Alesis D4 fx,0.650884354,6.019451141,-5.659900448,0.306251645,2088.719482,2396.736084,1924.188232,2.3788836,0.544423997
101,Alesis D4 fx,0.401995465,4.081730366,-6.091682943,0.201899588,454.0922241,664.2200928,112.6066971,16.61428833,0.834068477
121,Alesis DM5,0.371519274,15.45730591,2.881901119,0.183055922,253.0526886,274.3610229,277.6171265,19.92338562,0.891199708
122,Alesis DM5,0.219863946,8.687964439,1.425610615,0.113279462,317.7947693,418.4588623,104.719841,56.42241287,0.96665448
123,Alesis DM5,0.617505669,5.493241787,-6.030740936,0.294939309,367.6039124,473.991333,94.69813538,23.13946724,0.713995337
124,Alesis DM5,0.101587302,7.364619255,3.707595897,0.059562568,98.85674286,110.2651443,92.8941803,95.90565491,0.998449087
125,Alesis DM5,0.592108844,9.304156303,-2.432700485,0.284126401,366.0020142,468.335083,70.67710876,30.43862534,0.7623927
126,Alesis DM5,0.654512472,5.873834133,-5.849287018,0.31108588,1281.734985,1095.99646,99.55683899,7.25018549,0.573036134
127,Alesis DM5,0.208253968,7.842237949,0.997367149,0.107109338,513.0327148,645.5614624,104.6119308,63.8838768,0.874794126
128,Alesis DM5,0.423038549,3.660608053,-7.019108042,0.206624746,1021.65741,1141.117554,354.1858521,5.920249939,0.857802629
129,Alesis DM5,0.341043084,4.076034546,-5.386615428,0.167571068,789.687561,811.7489014,754.8118896,4.278698921,0.910002768
130,Alesis DM5,0.574693878,6.044998646,-5.098287434,0.281176001,1685.868042,1549.259277,1838.307983,3.987865448,0.446574271
131,Alesis DM5,0.361360544,2.828537703,-8.006227183,0.177140683,1387.5979,1407.85437,1227.547974,4.079351902,0.845953703
132,Alesis DM5,0.403446712,2.999979496,-8.103244507,0.196937069,1106.453857,1217.06189,308.0614929,9.312200546,0.835795462
133,Alesis DM5,0.692244898,6.780279636,-5.162467794,0.32675463,280.3917542,359.8789673,84.97344208,32.0482254,0.818894327
134,Alesis DM5,0.740136054,3.097212315,-10.53160791,0.343890429,741.1083984,810.5546265,439.2056274,10.90349579,0.72253108
135,Alesis DM5,0.744489796,5.10014677,-7.324203506,0.346794546,1359.690186,1461.373413,292.1850891,4.633045673,0.774881721
136,Alesis DM5,0.693696145,3.443773985,-9.562801302,0.323994696,798.7381592,807.4910278,338.835907,8.969269753,0.722471178
137,Alesis DM5,0.54276644,5.626048565,-5.315613999,0.262050122,817.1272583,1025.485718,418.3501892,9.741737366,0.774278402
138,Alesis DM5,0.371519274,5.951577663,-3.304691219,0.189780906,1463.187378,1628.178101,1322.683472,3.236432076,0.220631242
139,Alesis DM5,0.347573696,3.561939478,-6.342892226,0.170216069,1032.526123,1126.501221,453.0356445,11.14239788,0.899245024
140,Alesis DM5,0.274285714,3.257828474,-5.89293736,0.136283994,1118.93457,1139.641724,2412.751953,1.488470674,0.930260718
141,Alesis DM5,0.424489796,5.088611126,-4.898965611,0.207067892,892.2908325,924.3745728,323.8141174,6.81391573,0.794737816
142,Alesis DM5,0.376598639,4.587809563,-5.050631543,0.185738593,1553.088135,1770.665771,940.0100098,4.703065872,0.728703976
143,Alesis DM5,0.724172336,6.054977894,-6.091648255,0.33882001,543.3845825,618.7994385,74.53373718,27.17490196,0.455747694
144,Alesis DM5,0.430294785,8.087914467,-1.954412906,0.212709442,1273.57312,968.8381348,498.0839233,3.833287477,0.641482055
145,Alesis DM5,0.433197279,4.23075676,-6.18388467,0.21070306,893.4291992,885.4867554,819.5961914,2.724544287,0.66214627
146,Alesis DM5,0.30984127,14.28773689,3.160316619,0.159804702,1503.887207,1610.908569,1210.184692,15.93158531,0.27082786
147,Alesis DM5,0.316371882,7.082205296,-1.479447301,0.163510606,906.1258545,1017.422791,211.8705292,26.43470001,0.508753002
148,Alesis DM5,0.401269841,4.656612396,-5.229720342,0.197339341,991.7024536,1078.893799,118.9742737,32.21034241,0.804676235
149,Alesis DM5,0.448435374,4.411876678,-6.062305265,0.218011633,1167.516968,1399.751343,195.6843872,10.77089119,0.706393003
150,Alesis DM5,0.175600907,3.645422459,-3.226960513,0.090209603,1027.9021,1182.097046,151.2047424,18.48963737,0.806905985
151,Alesis DM5,0.560181406,2.978611231,-9.574828746,0.266623467,1466.237427,1681.477417,339.4816895,10.04312229,0.761925757
152,Alesis DM5,0.230748299,4.462376595,-3.10291777,0.117813125,1485.993652,1837.744873,110.9308319,39.91044235,0.739484966
153,Alesis DM5,0.488344671,2.927398682,-9.091399297,0.236498639,731.656189,894.3237305,208.8283234,13.59607124,0.821024001
154,Alesis DM5,0.1661678,4.300665855,-1.916262858,0.084102519,1033.321899,1049.007202,149.2312622,19.62210083,0.869070232
155,Alesis DM5,0.763356009,5.152522564,-7.366659537,0.355179638,1198.156006,1337.520508,987.822876,2.878726482,0.6807127
156,Alesis DM5,0.111020408,2.383865118,-3.989508907,0.05831673,1544.848145,1568.114014,1651.130859,1.82613802,0.898347914
157,Alesis DM5,0.425941043,5.543889046,-4.358336879,0.206644699,1699.633423,1843.585327,1417.693604,2.977190495,0.670718849
158,Alesis DM5,0.506485261,4.671935081,-6.219729979,0.243920088,1385.538574,1503.812256,252.7074127,10.05249977,0.77854389
159,Alesis DM5,0.331609977,9.168045044,-0.010191193,0.165570408,738.293457,636.3338013,3038.131104,0.74296993,0.92867732
160,Alesis DM5,0.959274376,11.12520409,-3.369442227,0.446239322,774.0641479,794.7868652,224.0876007,17.92355728,0.261601806
161,Alesis DM5,0.862040816,11.75805473,-2.546672967,0.398383141,245.52565,281.6876526,236.2524719,9.90425396,0.604920805
162,Alesis DM5,0.244535147,2.82143259,-6.326535756,0.122361541,970.3390503,1005.091858,923.6971436,2.177808046,0.941007674
