Index,Drum Machine,Duration,Equal Loudness,RMS,Temporal Centroid,Spectral Centroid,Spectral Centroid 1,Spectral Centroid 2,Spectral Kurtosis,Pitch Salience
11,Ace Tone Rhythm-Ace,0.113197279,6.490151882,2.474334598,0.060272466,4397.156738,4288.38916,4596.176758,2.518628597,0.353384733
12,Ace Tone Rhythm-Ace,0.113197279,7.071299076,3.044344018,0.060019154,4279.805176,4117.432129,4626.020996,2.329141855,0.387007266
13,Ace Tone Rhythm-Ace,0.139319728,7.643809795,2.577052369,0.074639313,4423.525879,4348.187012,4435.145508,2.04056859,0.330059737
14,Ace Tone Rhythm-Ace,0.119727891,8.98963356,4.326112306,0.064386427,4440.167969,4316.55957,4653.298828,2.636882305,0.379834384
15,Ace Tone Rhythm-Ace,0.11755102,7.630148411,3.357269348,0.062267583,4221.165527,3960.917236,4524.788574,1.966759801,0.359437376
16,Ace Tone Rhythm-Ace,0.10521542,6.369144917,2.657136136,0.055066459,3676.612061,3270.211914,4468.17334,1.701150537,0.497715384
17,Ace Tone Rhythm-Ace,0.120453515,6.442502975,2.126937964,0.06245926,3451.932373,2946.267578,4516.832031,2.014802933,0.556541443
21,Ace Tone Rhythm-Ace,0.112471655,10.9433918,5.832748167,0.061124727,4043.144775,4001.10498,4284.396484,2.758938074,0.436989725
22,Ace Tone Rhythm-Ace,0.116099773,11.41159821,5.983423657,0.062766917,3988.077148,3844.771973,4362.172363,2.196654558,0.338285536
23,Ace Tone Rhythm-Ace,0.317097506,7.211496353,-1.372129503,0.15917401,4599.187988,4378.512695,6899.258301,-0.885479987,0.299624681
36,Akai MPC-60,0.602267574,67.88776398,10.37572532,0.299109995,2826.99707,2499.606689,2625.241943,2.902519464,0.178983241
37,Akai MPC-60,0.446984127,9.075632095,-1.372802249,0.217576295,2051.894043,1665.263428,2668.484375,0.775883734,0.625180304
38,Akai MPC-60,0.512290249,19.44850349,2.975394814,0.247663558,2777.72168,2957.811279,1971.995483,1.890496373,0.344357073
40,Akai MPC-60,0.600816327,79.5333786,11.41604794,0.303227544,2799.969482,2488.840332,2489.620361,2.900929689,0.168990955
41,Akai MPC-60,0.389659864,13.80626774,1.942656003,0.1923493,2106.47998,1601.838745,2272.355713,0.587084949,0.635228693
42,Akai MPC-60,0.399092971,38.04779053,8.409713989,0.216704682,2574.498047,3391.408447,2027.606567,3.426802158,0.111345939
48,Akai XE-8,0.193741497,12.78049374,4.476858895,0.103655577,1973.398438,1317.391479,2831.048096,1.902337074,0.771480978
49,Akai XE-8,0.485442177,10.17875862,-0.987705275,0.238535255,1924.934937,1619.409302,1444.344116,2.123459101,0.304022133
50,Akai XE-8,0.362086168,8.761855125,-0.686072655,0.182326436,1811.507324,1385.285156,3214.70874,2.18547225,0.503429949
51,Akai XE-8,0.52244898,11.04968548,-0.77460336,0.255880684,1908.764771,1807.526123,2221.39502,1.890312195,0.488166034
56,Akai XE-8,0.306938776,10.08805275,0.964102054,0.155095875,1811.441284,1401.600464,3084.528076,2.046201229,0.598521173
57,Akai XE-8,0.519546485,12.72319126,0.163712987,0.25279215,1908.772583,1750.721313,2212.324219,1.922832131,0.488200009
58,Akai XE-8,0.484716553,11.71987724,-0.067354126,0.237461001,1924.878052,1627.519531,1448.188477,2.119561911,0.303754389
59,Akai XE-8,0.193741497,14.71562672,5.390756048,0.103563577,1973.364746,1309.499756,2845.233398,1.867142081,0.771487117
70,Akai XR-10,0.245260771,16.18024063,4.981720002,0.123716317,3585.571289,3528.747314,3531.510986,2.753929138,0.265298039
71,Akai XR-10,0.391111111,17.29910278,3.388410577,0.194216594,2633.267334,2524.071777,1664.235229,1.244440079,0.282022804
72,Akai XR-10,0.303310658,31.29469681,8.335031432,0.155442879,2099.102295,2345.208008,2312.117188,0.032596514,0.732481122
73,Akai XR-10,0.460770975,28.38609314,5.897226886,0.229387045,3432.884766,3314.784668,3531.015381,2.948386908,0.275387257
