Drum Machine,Type,Duration,Loudness,Equal Loudness,RMS,Temporal Centroid,Spectral Centroid,Spectral Kurtosis,Pitch Salience
Ace Tone Rhythm-Ace,ki,0.313469388,90.94628906,2.880778074,3.562208593,0.153441355,183.5852966,41.36108017,0.95826143
Ace Tone Rhythm-Ace,ki,0.293151927,88.50251007,2.908781528,3.67701052,0.144455597,199.4968262,34.15278625,0.958994925
Ace Tone Rhythm-Ace,ki,0.272108844,88.67342377,2.925348997,4.012680966,0.1337962,205.6146851,36.8675499,0.964887381
Ace Tone Rhythm-Ace,ki,0.323628118,90.05581665,2.903768778,3.35991791,0.158625171,336.6539612,26.83065033,0.954224408
Ace Tone Rhythm-Ace,ki,0.308390023,86.63791656,2.883270979,3.318574977,0.150781229,239.8169861,21.2943306,0.950016081
Ace Tone Rhythm-Ace,ki,0.258321995,91.64961243,2.936493397,4.452481343,0.127491057,177.3304749,110.1857834,0.970039606
Ace Tone Rhythm-Ace,ki,0.243809524,91.53843689,2.973394394,4.695720136,0.120419808,198.0627441,43.68810272,0.97187835
Ace Tone Rhythm-Ace,ki,0.235827664,77.31785583,2.486185074,3.745895921,0.116696171,179.2713776,119.8450165,0.974969566
Ace Tone Rhythm-Ace,ki,0.293151927,89.84015656,2.923322201,3.774248053,0.143767208,181.3714142,96.15750122,0.962791622
Ace Tone Rhythm-Ace,ki,0.150929705,76.92423248,4.0780797,5.651012926,0.079847798,149.6774292,170.8225861,0.99187088
Ace Tone Rhythm-Ace,sn,0.113197279,32.32108307,6.490151882,1.335882825,0.060272466,4397.156738,2.518628597,0.353384733
Ace Tone Rhythm-Ace,sn,0.113197279,31.95350075,7.071299076,1.275865111,0.060019154,4279.805176,2.329141855,0.387007266
Ace Tone Rhythm-Ace,sn,0.139319728,40.56461334,7.643809795,1.850636187,0.074639313,4423.525879,2.04056859,0.330059737
Ace Tone Rhythm-Ace,sn,0.119727891,24.67054558,8.98963356,-0.674940253,0.064386427,4440.167969,2.636882305,0.379834384
Ace Tone Rhythm-Ace,sn,0.11755102,40.14450836,7.630148411,2.574967825,0.062267583,4221.165527,1.966759801,0.359437376
Ace Tone Rhythm-Ace,sn,0.10521542,28.21640778,6.369144917,0.760318464,0.055066459,3676.612061,1.701150537,0.497715384
Ace Tone Rhythm-Ace,sn,0.120453515,29.66152,6.442502975,0.479645867,0.06245926,3451.932373,2.014802933,0.556541443
Ace Tone Rhythm-Ace,ki,0.647981859,155.2767639,2.978440762,3.876015642,0.303961903,210.0148773,36.50665283,0.882339239
Ace Tone Rhythm-Ace,ki,0.629115646,98.01967621,2.55115509,1.022352358,0.297777295,109.101326,24.02070618,0.94267875
Ace Tone Rhythm-Ace,ki,0.650884354,104.7407379,3.151614666,1.304655973,0.305604041,171.9006042,37.33667755,0.862079322
Ace Tone Rhythm-Ace,sn,0.112471655,24.26904488,10.9433918,-0.549439153,0.061124727,4043.144775,2.758938074,0.436989725
