Index,Drum Machine,Type,Equal Loudness,RMS,Temporal Centroid,Spectral Centroid,Spectral Centroid 1,Spectral Centroid 2,Spectral Kurtosis,Pitch Salience
1,Ace Tone Rhythm-Ace,ki,0.013313642,0.331812448,0.114975324,0.018279097,0.0225221,0.010382135,0.048414617,0.956263824
2,Ace Tone Rhythm-Ace,ki,0.013468796,0.342325977,0.107884991,0.020961063,0.026004984,0.012102539,0.040153902,0.957032423
3,Ace Tone Rhythm-Ace,ki,0.013560588,0.353015096,0.099474051,0.021992258,0.026832114,0.009848527,0.043265025,0.963206892
4,Ace Tone Rhythm-Ace,ki,0.013441022,0.329229542,0.119065684,0.044079569,0.055236109,0.020192492,0.031762724,0.952033589
5,Ace Tone Rhythm-Ace,ki,0.013327454,0.334085677,0.112876317,0.027757223,0.033674395,0.022863085,0.025418094,0.947623853
6,Ace Tone Rhythm-Ace,ki,0.013622334,0.360452161,0.094498893,0.017224816,0.021375387,0.004466982,0.127287823,0.968605703
7,Ace Tone Rhythm-Ace,ki,0.013826784,0.370312092,0.088919228,0.020719342,0.025498665,0.008804519,0.051081388,0.970532449
8,Ace Tone Rhythm-Ace,ki,0.011127391,0.340160341,0.085981043,0.017551965,0.021728841,0.003213272,0.138357317,0.97377161
9,Ace Tone Rhythm-Ace,ki,0.013549358,0.343285735,0.107341809,0.017905936,0.022040792,0.003844624,0.111211392,0.96101083
10,Ace Tone Rhythm-Ace,ki,0.019947315,0.492963827,0.056905337,0.01256376,0.014578093,0.010538004,0.196777683,0.991481821
11,Ace Tone Rhythm-Ace,sn,0.03331145,0.621161876,0.041459158,0.728497166,0.781681235,0.643205667,0.003901113,0.322437747
12,Ace Tone Rhythm-Ace,sn,0.036531307,0.638087547,0.041259279,0.708716987,0.749895618,0.647414681,0.003683961,0.357669454
13,Ace Tone Rhythm-Ace,sn,0.039703314,0.624211943,0.052795512,0.732941814,0.792799301,0.620494996,0.003353256,0.297996418
14,Ace Tone Rhythm-Ace,sn,0.047159878,0.67614795,0.044705335,0.73574692,0.78691889,0.651261747,0.004036632,0.350153277
15,Ace Tone Rhythm-Ace,sn,0.039627623,0.647379448,0.043033432,0.698832987,0.720795192,0.633137599,0.003268671,0.32878007
16,Ace Tone Rhythm-Ace,sn,0.032641008,0.626589924,0.037351288,0.607045838,0.592374063,0.625153,0.002964282,0.473676058
17,Ace Tone Rhythm-Ace,sn,0.03304745,0.610846395,0.043184678,0.569174978,0.532143896,0.632015467,0.003323728,0.535317531
18,Ace Tone Rhythm-Ace,ki,0.013854744,0.244585228,0.23374559,0.022733932,0.03143883,0.045570505,0.042851436,0.876707999
19,Ace Tone Rhythm-Ace,ki,0.011487359,0.218590227,0.228865542,0.00572446,0.008352763,0.092732875,0.028542524,0.939935356
20,Ace Tone Rhythm-Ace,ki,0.014814217,0.254891067,0.235041341,0.016309585,0.022469376,0.049419039,0.043802646,0.855478443
21,Ace Tone Rhythm-Ace,sn,0.057984714,0.720885497,0.042131646,0.668826719,0.7282672,0.599234455,0.004176508,0.410044071
22,Ace Tone Rhythm-Ace,sn,0.060578821,0.725359605,0.043427438,0.659544801,0.699200591,0.610203397,0.00353213,0.306615903
23,Ace Tone Rhythm-Ace,sn,0.037308073,0.506946243,0.119498754,0.762550521,0.798437681,0.968015465,0,0.266104741
34,Akai MPC-60,ki,0.097741101,0.661596702,0.142079461,0.390967564,0.481850773,0.05937603,0.005849284,0.384519513
35,Akai MPC-60,ki,0.019441635,0.417507538,0.096470315,0.453814587,0.513904887,0.27546696,0.002133331,0.756867889
36,Akai MPC-60,sn,0.373486147,0.855783158,0.229917127,0.463839077,0.449097344,0.365239418,0.004341053,0.139689406
