Index,Drum Machine,Type,Duration,Loudness,Equal Loudness,RMS,Temporal Centroid,Spectral Centroid,Spectral Kurtosis,Pitch Salience
1,Ace Tone Rhythm-Ace,ki,0.313469388,0.392303089,-0.779616925,-1.414750657,-0.196712129,-1.386609688,0.199574955,1.273592835
2,Ace Tone Rhythm-Ace,ki,0.293151927,0.353439815,-0.776977366,-1.345836529,-0.261441508,-1.37319462,0.096272084,1.276441369
3,Ace Tone Rhythm-Ace,ki,0.272108844,0.356157845,-0.775415744,-1.275771448,-0.338227032,-1.368036631,0.135177667,1.299324772
4,Ace Tone Rhythm-Ace,ki,0.323628118,0.378141958,-0.77744986,-1.431681102,-0.159370238,-1.257556942,-0.008662269,1.257915022
5,Ace Tone Rhythm-Ace,ki,0.308390023,0.323787293,-0.779381948,-1.399850087,-0.215874483,-1.339200547,-0.08800389,1.24157195
6,Ace Tone Rhythm-Ace,ki,0.258321995,0.403487999,-0.774365291,-1.227022941,-0.383646462,-1.391883151,1.185909519,1.319333486
7,Ace Tone Rhythm-Ace,ki,0.243809524,0.401719981,-0.770887064,-1.162393017,-0.434584578,-1.3744037,0.232923777,1.326474263
8,Ace Tone Rhythm-Ace,ki,0.235827664,0.175570913,-0.816810611,-1.360031855,-0.461407987,-1.390246769,1.324337075,1.338479028
9,Ace Tone Rhythm-Ace,ki,0.293151927,0.374712329,-0.775606786,-1.339545509,-0.266400354,-1.38847622,0.984868629,1.291185874
10,Ace Tone Rhythm-Ace,ki,0.150929705,0.169311144,-0.666761249,-0.358434877,-0.726847184,-1.415197534,2.054902359,1.404115432
11,Ace Tone Rhythm-Ace,sn,0.113197279,-0.540010129,-0.439403305,0.481878272,-0.867859113,2.165867656,-0.357080588,-1.075451181
12,Ace Tone Rhythm-Ace,sn,0.113197279,-0.545855769,-0.384625329,0.592822737,-0.869683861,2.066928129,-0.359796143,-0.944877775
13,Ace Tone Rhythm-Ace,sn,0.139319728,-0.40891375,-0.330661414,0.501870868,-0.764366779,2.188099574,-0.363931719,-1.16603401
14,Ace Tone Rhythm-Ace,sn,0.119727891,-0.661676179,-0.203806286,0.842301241,-0.838223978,2.202130581,-0.35538588,-0.972733728
15,Ace Tone Rhythm-Ace,sn,0.11755102,-0.415594655,-0.331949113,0.653729333,-0.853487186,2.017488829,-0.364989481,-1.051945688
16,Ace Tone Rhythm-Ace,sn,0.10521542,-0.60528654,-0.450809222,0.517458067,-0.905360861,1.558373829,-0.368795958,-0.514941819
17,Ace Tone Rhythm-Ace,sn,0.120453515,-0.582305005,-0.443894612,0.414262312,-0.852106428,1.36894557,-0.36430097,-0.286490297
18,Ace Tone Rhythm-Ace,ki,0.647981859,1.415346864,-0.770411402,-1.98650803,0.887570553,-1.364326813,0.130005611,0.978748333
19,Ace Tone Rhythm-Ace,ki,0.629115646,0.504790751,-0.810686644,-2.156900183,0.843019406,-1.449407393,-0.048931895,1.213077357
20,Ace Tone Rhythm-Ace,ki,0.650884354,0.611675401,-0.754088315,-1.918955275,0.899399778,-1.396461094,0.141900789,0.900068766
21,Ace Tone Rhythm-Ace,sn,0.112471655,-0.668061221,-0.019648258,1.135547114,-0.861719808,1.867398888,-0.353636685,-0.750770455
22,Ace Tone Rhythm-Ace,sn,0.116099773,-0.60601282,0.024484106,1.164874019,-0.849890206,1.820971172,-0.361694834,-1.134089048
23,Ace Tone Rhythm-Ace,sn,0.317097506,-0.626661092,-0.371410565,-0.266782871,-0.155416643,2.336200935,-0.405865251,-1.284228818
34,Akai MPC-60,ki,0.378049887,0.874089223,0.656709088,0.746920653,0.050728133,0.477560475,-0.332718089,-0.845367874
35,Akai MPC-60,ki,0.261950113,-0.330865313,-0.675364161,-0.853036097,-0.365648869,0.79191833,-0.379187269,0.534604894
36,Akai MPC-60,sn,0.602267574,1.679340157,5.347834314,2.019774907,0.852619582,0.842060353,-0.351579004,-1.752740921
37,Akai MPC-60,sn,0.446984127,-0.537542645,-0.195700206,-0.266913811,0.265287287,0.188568183,-0.38205606,-0.019930671
38,Akai MPC-60,sn,0.512290249,-0.081562998,0.782029539,0.579402726,0.482022463,0.800516093,-0.366082421,-1.110510178
39,Akai MPC-60,ki,0.237278912,1.421822479,1.109281058,1.437217991,-0.415156608,0.436628782,-0.348667481,-0.691050788
40,Akai MPC-60,sn,0.600816327,2.135597769,6.445530735,2.222259346,0.882280559,0.819273296,-0.351601788,-1.791546054
41,Akai MPC-60,sn,0.389659864,-0.266564212,0.250201705,0.378394372,0.083563299,0.234589785,-0.384761757,0.019092338
42,Akai MPC-60,sn,0.399092971,0.678511143,2.535167648,1.63711794,0.259008572,0.629177512,-0.34406545,-2.015410982
43,Akai XE-8,ki,0.292426304,-0.10816274,-0.862625815,-1.816385068,-0.245838162,-0.129358865,-0.313607907,0.281105329
44,Akai XE-8,ki,0.394013605,-0.333113191,-0.812338697,-1.770059569,0.10327406,-0.558622316,-0.337379357,0.591176499
45,Akai XE-8,ki,0.513741497,-0.266990505,-0.788597338,-1.874772486,0.491015195,-0.418685228,-0.35196741,0.082192005
46,Akai XE-8,ki,0.52244898,-0.318914933,-0.727175978,-1.623773455,0.531106418,-0.38758724,-0.334396798,0.340120848
47,Akai XE-8,ki,0.545668934,0.307898062,-0.497161013,-0.983695254,0.632010673,-0.568178142,-0.344765704,0.705630784
48,Akai XE-8,sn,0.193741497,-0.195367998,0.15351394,0.871641984,-0.555346597,0.122388254,-0.365912731,0.548229291
49,Akai XE-8,sn,0.485442177,-0.549233015,-0.09172132,-0.191960001,0.416266257,0.081528501,-0.362743806,-1.267151275
50,Akai XE-8,sn,0.362086168,-0.58973224,-0.225276305,-0.133251375,0.011363074,-0.01410273,-0.361855089,-0.492749254
51,Akai XE-8,sn,0.52244898,-0.396046662,-0.009629191,-0.150482655,0.541214963,0.067895375,-0.366085061,-0.552026803
52,Akai XE-8,ki,0.351927438,-0.224036778,-0.775517973,-1.489135615,-0.053895605,-0.560151265,-0.333537554,0.640795747
53,Akai XE-8,ki,0.214058957,-0.147939082,-0.748890908,-0.953747363,-0.512445984,-0.418644164,-0.343194374,0.445333256
54,Akai XE-8,ki,0.415056689,-0.207563161,-0.678141592,-1.247470595,0.170908524,-0.387602369,-0.33338826,0.4033844
55,Akai XE-8,ki,0.18430839,0.035115395,-0.8340014,-1.241217309,-0.624765342,-0.129651152,-0.281295805,0.281416894
56,Akai XE-8,sn,0.306938776,-0.519427436,-0.100271105,0.187932354,-0.184793702,-0.014158409,-0.363850997,-0.123461643
57,Akai XE-8,sn,0.519546485,-0.2964637,0.148112703,0.03214767,0.518966547,0.067901962,-0.365619014,-0.551894862
58,Akai XE-8,sn,0.484716553,-0.472791349,0.053541979,-0.012826354,0.408527808,0.081480541,-0.362799657,-1.268191061
59,Akai XE-8,sn,0.193741497,-0.065346905,0.335916382,1.049519449,-0.556009322,0.122359849,-0.366417114,0.548253133
60,Akai XR-10,ki,0.214058957,-0.029954877,-0.115528076,0.473863823,-0.52292389,0.342939715,-0.364077559,-0.003813287
61,Akai XR-10,ki,0.141496599,-0.069890888,-0.043581671,0.917989285,-0.785384366,0.930340054,-0.370723877,-0.297059222
62,Akai XR-10,ki,0.187210884,0.070271558,-0.399584039,0.125259023,-0.622038873,1.023982807,-0.383451282,0.563480958
63,Akai XR-10,ki,0.274285714,-0.186345792,0.199350112,0.624892198,-0.321682625,1.267120842,-0.357811978,-0.131671141
64,Akai XR-10,ki,0.056598639,-0.403231329,-0.516210472,0.915505637,-1.090570462,-1.245128548,0.066880194,1.417065542
65,Akai XR-10,ki,0.187936508,-0.035697902,0.28820309,1.031071372,-0.613459995,1.288172291,-0.360384951,-0.356669633
66,Akai XR-10,ki,0.101587302,0.012724342,-0.559756516,0.28605584,-0.912667557,0.145612507,-0.324069865,0.597565214
67,Akai XR-10,ki,0.240907029,0.170087412,-0.07937873,0.419769672,-0.434996339,0.646852018,-0.378801723,0.254844471
68,Akai XR-10,ki,0.367165533,-0.109342733,0.246813055,0.425367383,-0.003563378,1.286818509,-0.371244162,-1.404161889
69,Akai XR-10,ki,0.236553288,0.171263584,-0.09234418,0.414891468,-0.430923864,-0.335515299,-0.080448026,0.842348119
70,Akai XR-10,sn,0.245260771,-0.537742899,0.473968473,0.969906229,-0.410837999,1.481617025,-0.353708469,-1.41753664
71,Akai XR-10,sn,0.391111111,-0.311335338,0.579430574,0.659790543,0.097014452,0.678726111,-0.375341127,-1.352585865
