Index,Drum Machine,Type,Duration,Loudness,Equal Loudness,RMS,Temporal Centroid,Spectral Centroid,Spectral Kurtosis,Pitch Salience
1,Ace Tone Rhythm-Ace,ki,-0.227998718,-0.007047696,-0.724271661,-0.954064062,-0.263642244,-0.929302706,-0.127516874,0.949437801
2,Ace Tone Rhythm-Ace,ki,-0.269885723,-0.039014015,-0.720479819,-0.886348471,-0.318110822,-0.913309595,-0.205043378,0.953191012
3,Ace Tone Rhythm-Ace,ki,-0.313268692,-0.036778345,-0.718236481,-0.817501943,-0.382724424,-0.907160368,-0.175845604,0.983342048
4,Ace Tone Rhythm-Ace,ki,-0.207055215,-0.018695691,-0.721158577,-0.970700058,-0.232219732,-0.775449224,-0.283794275,0.928780808
5,Ace Tone Rhythm-Ace,ki,-0.238470469,-0.063404187,-0.723934106,-0.939422639,-0.279767011,-0.872782704,-0.343338395,0.907247272
6,Ace Tone Rhythm-Ace,ki,-0.341692017,0.00215226,-0.71672746,-0.769601257,-0.420944037,-0.935589598,0.612705259,1.00970541
7,Ace Tone Rhythm-Ace,ki,-0.371611306,0.000698007,-0.711730837,-0.70609536,-0.463807521,-0.91475103,-0.102489325,1.019114056
8,Ace Tone Rhythm-Ace,ki,-0.388066915,-0.185317025,-0.777702,-0.900296916,-0.486378926,-0.933638744,0.716592058,1.034931463
9,Ace Tone Rhythm-Ace,ki,-0.269885723,-0.021516674,-0.718510922,-0.880166862,-0.3222836,-0.93152794,0.461828547,0.972618284
10,Ace Tone Rhythm-Ace,ki,-0.563094757,-0.190465891,-0.562149595,0.083880554,-0.709741113,-0.963384427,1.26486504,1.121413598
11,Ace Tone Rhythm-Ace,sn,-0.913614896,-0.325860523,-0.598325311,0.093902546,-0.984446849,2.038269,-0.08104931,-0.615037983
12,Ace Tone Rhythm-Ace,sn,-0.913614896,-0.336966689,-0.551003441,0.234837331,-0.986808376,1.912838921,-0.093675059,-0.473428223
13,Ace Tone Rhythm-Ace,sn,-0.806531229,-0.076789733,-0.504384825,0.119299507,-0.850510588,2.0664534,-0.112903072,-0.713277075
14,Ace Tone Rhythm-Ace,sn,-0.886843979,-0.557014573,-0.394796588,0.551754444,-0.946094065,2.084241136,-0.073169911,-0.503638623
15,Ace Tone Rhythm-Ace,sn,-0.895767618,-0.089482824,-0.50549725,0.312208096,-0.96584719,1.850162502,-0.117821048,-0.589545754
16,Ace Tone Rhythm-Ace,sn,-0.946334906,-0.449879564,-0.608178711,0.139100212,-1.032980337,1.268121815,-0.13551894,-0.007153125
17,Ace Tone Rhythm-Ace,sn,-0.883869433,-0.406216808,-0.602205284,0.008008754,-0.96406026,1.027975112,-0.114619872,0.240607628
18,Ace Tone Rhythm-Ace,ki,0.461640899,0.834439395,-0.711047527,-1.515877584,0.648761628,-0.902737615,-0.179727118,0.560952438
19,Ace Tone Rhythm-Ace,ki,0.422745823,0.085477099,-0.768904657,-1.683306321,0.611272659,-1.004168573,-0.314015732,0.869702966
20,Ace Tone Rhythm-Ace,ki,0.467624756,0.173393233,-0.687598706,-1.449499688,0.658715703,-0.941047309,-0.170800052,0.457284709
21,Ace Tone Rhythm-Ace,sn,-0.916589442,-0.569145553,-0.235705236,0.924270046,-0.976501569,1.659886749,-0.065037176,-0.262914521
22,Ace Tone Rhythm-Ace,sn,-0.901716711,-0.451259428,-0.197579951,0.96152455,-0.961192101,1.601028251,-0.10250286,-0.678632054
23,Ace Tone Rhythm-Ace,sn,-0.077767381,-0.490489202,-0.539587405,-0.857135412,-0.062428025,2.25420814,-0.307869508,-0.841461971
34,Akai MPC-60,ki,-0.094857881,0.389237216,1.33907286,1.170012034,-0.055425829,1.293114732,-0.526990953,-1.842492229
35,Akai MPC-60,ki,-0.334212194,-0.601877448,-0.57450805,-0.402118693,-0.405799394,1.667884371,-0.561865039,-0.024248316
36,Akai MPC-60,sn,1.091229321,3.890696267,4.401182263,2.047520802,1.242138188,0.360019079,-0.05547016,-1.349573758
37,Akai MPC-60,sn,0.45467641,-0.321172535,-0.387793867,-0.857301748,0.482032699,-0.468442268,-0.197170675,0.529697466
38,Akai MPC-60,sn,0.722385578,0.545145904,0.45685216,0.217789646,0.762523995,0.307351556,-0.12290258,-0.653060245
39,Akai MPC-60,ki,-0.385074986,0.839765801,1.989212094,1.848303904,-0.447459243,1.244316983,-0.538960617,-1.639164954
40,Akai MPC-60,sn,1.085280229,4.757542816,5.349465698,2.304740493,1.280524416,0.331130904,-0.055576089,-1.391658787
41,Akai MPC-60,sn,0.219687251,0.193660999,-0.00258591,-0.037554947,0.246851692,-0.410098618,-0.209750584,0.572018787
42,Akai MPC-60,sn,0.258356353,1.989215279,1.971361816,1.56142465,0.473907,0.090137949,-0.02053652,-1.634445277
43,Akai XE-8,ki,-0.271381687,-0.418697271,-0.843517526,-1.348713354,-0.304980895,0.569560546,-0.512649187,-0.358257836
44,Akai XE-8,ki,-0.061946663,-0.603726401,-0.771277903,-1.303193536,-0.011209401,0.057803305,-0.530489131,0.050290094
45,Akai XE-8,ki,0.184887473,-0.549338321,-0.737172412,-1.406085314,0.31506761,0.224632831,-0.54143714,-0.620344848
46,Akai XE-8,ki,0.202839047,-0.592047868,-0.648937969,-1.159451592,0.348803635,0.261707081,-0.528250787,-0.280499338
47,Akai XE-8,ki,0.25070991,-0.076473601,-0.318511511,-0.530505461,0.433712704,0.046411086,-0.53603242,0.20109438
48,Akai XE-8,sn,-0.583440255,0.328927108,-0.086113017,0.589026526,-0.580003775,-0.552341534,-0.122113619,1.145879572
49,Akai XE-8,sn,0.612327364,-0.343383138,-0.29796807,-0.762086551,0.677424549,-0.604141277,-0.107379969,-0.822940996
50,Akai XE-8,sn,0.106654491,-0.420327856,-0.413344215,-0.687507908,0.153412615,-0.725377279,-0.103247952,0.016915206
51,Akai XE-8,sn,0.764029227,-0.052343477,-0.227049915,-0.709397118,0.839128917,-0.621424602,-0.122914852,-0.047372614
52,Akai XE-8,ki,-0.148712601,-0.51400747,-0.718383338,-1.027155337,-0.143464775,0.055980531,-0.527605944,0.115668121
53,Akai XE-8,ki,-0.432945849,-0.451414618,-0.680132406,-0.501078415,-0.529326458,0.224681787,-0.534853172,-0.141872096
54,Akai XE-8,ki,-0.018563693,-0.50045738,-0.57849795,-0.789693291,0.045703752,0.261689045,-0.527493902,-0.197143658
