Index,Drum Machine,Type,Duration,Equal Loudness,RMS,Temporal Centroid,Spectral Centroid,Spectral Kurtosis,Pitch Salience
1,Ace Tone Rhythm-Ace,ki,0.027027027,-0.502404979,-0.704318282,0.009525742,-0.339255677,0.324027727,0.485413684
2,Ace Tone Rhythm-Ace,ki,-0.041769042,-0.498116092,-0.65689441,-0.055290237,-0.329406446,0.21527743,0.488008081
3,Ace Tone Rhythm-Ace,ki,-0.113022113,-0.495578691,-0.608678501,-0.13217849,-0.325619493,0.256234605,0.508849907
4,Ace Tone Rhythm-Ace,ki,0.061425061,-0.498883823,-0.715969118,0.046917592,-0.244506231,0.104809618,0.471134591
5,Ace Tone Rhythm-Ace,ki,0.00982801,-0.502023176,-0.694064322,-0.009662248,-0.304448282,0.021284109,0.456249591
6,Ace Tone Rhythm-Ace,ki,-0.15970516,-0.493871864,-0.575131781,-0.177658687,-0.343127409,1.362374249,0.527073512
7,Ace Tone Rhythm-Ace,ki,-0.208845209,-0.488220269,-0.530656123,-0.228664951,-0.330294142,0.359135118,0.533577214
8,Ace Tone Rhythm-Ace,ki,-0.235872236,-0.562839114,-0.666663051,-0.255524247,-0.341925991,1.508101446,0.544510956
9,Ace Tone Rhythm-Ace,ki,-0.041769042,-0.495889107,-0.652565189,-0.060255717,-0.340626069,1.150731956,0.501437133
10,Ace Tone Rhythm-Ace,ki,-0.523341523,-0.319031507,0.022594835,-0.52131857,-0.360244634,2.277191317,0.604291507
11,Ace Tone Rhythm-Ace,sn,-0.736677116,-0.51116324,0.045236212,-0.735569328,1.391411706,0.300911088,-0.351589875
12,Ace Tone Rhythm-Ace,sn,-0.736677116,-0.450460165,0.154614556,-0.737809875,1.303362959,0.199069883,-0.262049272
13,Ace Tone Rhythm-Ace,sn,-0.623824451,-0.390659203,0.064946587,-0.608494616,1.411196443,0.043973812,-0.413706974
14,Ace Tone Rhythm-Ace,sn,-0.70846395,-0.250082699,0.400571355,-0.699181356,1.423682985,0.364467515,-0.281151468
15,Ace Tone Rhythm-Ace,sn,-0.717868339,-0.392086188,0.214661378,-0.717922529,1.259365696,0.004304672,-0.335471003
16,Ace Tone Rhythm-Ace,sn,-0.771159875,-0.523802886,0.080313754,-0.781616448,0.850787834,-0.138449208,0.032778947
17,Ace Tone Rhythm-Ace,sn,-0.705329154,-0.516140353,-0.021425263,-0.716227144,0.682210914,0.030125848,0.189439386
18,Ace Tone Rhythm-Ace,ki,1.15970516,-0.487447389,-1.097778213,1.095259064,-0.322895776,0.250789812,0.216874186
19,Ace Tone Rhythm-Ace,ki,1.095823096,-0.552888591,-1.215035091,1.050648313,-0.385361227,0.062416471,0.430297187
20,Ace Tone Rhythm-Ace,ki,1.16953317,-0.460924833,-1.051291183,1.107104116,-0.346488497,0.263312253,0.145214137
21,Ace Tone Rhythm-Ace,sn,-0.739811912,-0.046005085,0.689677692,-0.728031085,1.125796924,0.43006739,-0.128940341
22,Ace Tone Rhythm-Ace,sn,-0.724137931,0.002900888,0.71859061,-0.71350592,1.084479744,0.127863497,-0.391800743
23,Ace Tone Rhythm-Ace,sn,0.144200627,-0.435816017,-0.692856632,0.139214514,1.542995529,-1.528655024,-0.494758964
34,Akai MPC-60,ki,0.245700246,1.831408407,0.783255092,0.25729705,1.029402459,-0.236334498,-1.444500699
35,Akai MPC-60,ki,-0.147420147,-0.333009943,-0.317769402,-0.159637015,1.260201365,-0.285254118,-0.187644315
36,Akai MPC-60,sn,1.376175549,5.902055119,1.561423492,1.376947862,0.21332265,0.507236387,-0.816040743
37,Akai MPC-60,sn,0.705329154,-0.241099819,-0.692985724,0.655782541,-0.368236291,-0.63574145,0.372232425
38,Akai MPC-60,sn,0.987460815,0.84238677,0.141383985,0.921904282,0.176351379,-0.036683734,-0.375631553
39,Akai MPC-60,ki,-0.230958231,2.566769677,1.258289356,-0.209210989,0.999350752,-0.253124943,-1.303951248
40,Akai MPC-60,sn,1.369905956,7.118484667,1.761049607,1.413367565,0.193043881,0.50638195,-0.842651331
41,Akai MPC-60,sn,0.457680251,0.253033394,-0.056786881,0.432649847,-0.327280522,-0.737212907,0.398992421
42,Akai MPC-60,sn,0.498432602,2.78515433,1.184168212,0.648073121,0.023872913,0.789016427,-0.996166517
43,Akai XE-8,ki,-0.044226044,-0.637281919,-0.98070658,-0.039666015,0.583807358,-0.216216587,-0.418527529
44,Akai XE-8,ki,0.2997543,-0.555572929,-0.948827275,0.309913277,0.268645724,-0.241241567,-0.136119833
45,Akai XE-8,ki,0.705159705,-0.516996796,-1.020886402,0.698173162,0.371386363,-0.256598885,-0.599694495
46,Akai XE-8,ki,0.734643735,-0.41719634,-0.848159183,0.738318023,0.394218245,-0.23810173,-0.364777169
47,Akai XE-8,ki,0.813267813,-0.043456674,-0.407683665,0.839357276,0.261629916,-0.249017415,-0.031876763
48,Akai XE-8,sn,-0.388714734,0.145887327,0.429497916,-0.351845854,-0.427131456,-0.030319852,0.76184764
