"Window Length","Window Start","HFC"
"0","0","10.3582544326782"
"25","20","60.6003913879395"
"25","50","62.9675331115723"
"25","100","52.3733825683594"
"100","20","30.8690032958984"
"100","50","28.7405624389648"
"100","100","23.5288600921631"
"250","20","13.6414308547974"
"250","50","12.6825370788574"
"250","100","10.3504867553711"
"500","20","11.1571016311646"
"500","50","10.3739137649536"
"500","100","8.46804237365723"
"0","0","10.8653926849365"
"25","20","60.7876014709473"
"25","50","61.2774696350098"
"25","100","50.8936958312988"
"100","20","30.4745903015137"
"100","50","27.9389400482178"
"100","100","22.9046230316162"
"250","20","13.4650135040283"
"250","50","12.3445177078247"
"250","100","10.1063804626465"
"500","20","11.6524696350098"
"500","50","10.8925142288208"
"500","100","8.91801452636719"
"0","0","11.6153745651245"
"25","20","61.626163482666"
"25","50","62.4130744934082"
"25","100","52.1660766601562"
"100","20","30.6454925537109"
"100","50","28.1053047180176"
"100","100","23.0353374481201"
"250","20","13.4765281677246"
"250","50","12.3527927398682"
"250","100","10.1017990112305"
"500","20","12.634147644043"
"500","50","11.5808515548706"
"500","100","9.47059917449951"
"0","0","10.2679529190063"
"25","20","59.8648223876953"
"25","50","63.3094139099121"
"25","100","52.5500602722168"
"100","20","30.4238147735596"
"100","50","28.8257694244385"
"100","100","23.4681167602539"
"250","20","13.3874425888062"
"250","50","12.6438312530518"
"250","100","10.2451133728027"
"500","20","10.5678062438965"
"500","50","9.98175048828125"
"500","100","8.23340034484863"
"0","0","9.82437324523926"
"25","20","60.7274513244629"
"25","50","61.0043182373047"
"25","100","50.7475700378418"
"100","20","29.9695281982422"
"100","50","27.463659286499"
"100","100","22.3903522491455"
"250","20","13.0881261825562"
"250","50","11.9790201187134"
"250","100","9.7377986907959"
"500","20","10.7095766067505"
"500","50","9.98389053344727"
"500","100","8.11598300933838"
"0","0","12.6899652481079"
"25","20","62.5415649414062"
"25","50","63.2569160461426"
"25","100","53.2689056396484"
"100","20","31.8965549468994"
"100","50","29.1782417297363"
"100","100","24.1727027893066"
"250","20","14.053014755249"
"250","50","12.869176864624"
"250","100","10.6331777572632"
"500","20","13.7474365234375"
"500","50","12.5893287658691"
"500","100","10.6331071853638"
"0","0","13.5590391159058"
"25","20","63.2631034851074"
"25","50","64.0333786010742"
"25","100","53.8000679016113"
"100","20","32.019214630127"
"100","50","29.2941932678223"
"100","100","24.2645130157471"
"250","20","14.7277364730835"
"250","50","13.4686098098755"
"250","100","11.114631652832"
"500","20","14.7277364730835"
"500","50","13.4686098098755"
"500","100","11.114631652832"
"0","0","10.7716112136841"
"25","20","48.7281303405762"
"25","50","49.5516510009766"
"25","100","41.6657676696777"
"100","20","24.7296009063721"
"100","50","22.6583423614502"
"100","100","18.7917652130127"
"250","20","11.6802778244019"
"250","50","10.6989088058472"
"250","100","9.060622215271"
"500","20","11.6802778244019"
"500","50","10.6989088058472"
"500","100","9.060622215271"
"0","0","10.9099206924438"
"25","20","62.2019538879395"
"25","50","62.8337593078613"
"25","100","52.6285095214844"
"100","20","31.1115875244141"
"100","50","28.4423370361328"
"100","100","23.4459991455078"
"250","20","13.7201442718506"
"250","50","12.5402069091797"
"250","100","10.3177585601807"
"500","20","11.8729162216187"
"500","50","10.852222442627"
"500","100","9.10437870025635"
"0","0","18.8956146240234"
"25","20","61.3808097839355"
"25","50","46.5517387390137"
"25","100","32.2046546936035"
"100","20","29.0203475952148"
"100","50","21.7772464752197"
"100","100","15.6453666687012"
"250","20","20.5946559906006"
"250","50","16.0041370391846"
"250","100","12.3747129440308"
"500","20","20.5946559906006"
"500","50","16.0041370391846"
"500","100","12.3747129440308"
"0","0","6.48160409927368"
"25","20","59.6232414245605"
"25","50","65.8050003051758"
"25","100","48.5105590820312"
"100","20","40.3842658996582"
"100","50","38.7990264892578"
"100","100","31.5180759429932"
"250","20","17.2110328674316"
"250","50","16.5515537261963"
"250","100","14.0696926116943"
"500","20","8.86620140075684"
"500","50","8.52682590484619"
"500","100","7.25432395935059"
"0","0","5.93656301498413"
"25","20","59.3606834411621"
"25","50","64.6434020996094"
"25","100","52.9785919189453"
"100","20","33.6527709960938"
"100","50","30.2998714447021"
"100","100","25.1283512115479"
"250","20","14.9284696578979"
"250","50","13.6160736083984"
"250","100","11.2044506072998"
"500","20","7.64256620407104"
"500","50","6.96886014938354"
"500","100","5.73490953445435"
"0","0","6.3222131729126"
"25","20","72.8680191040039"
"25","50","73.537239074707"
"25","100","66.8498001098633"
"100","20","38.5205078125"
"100","50","34.6819801330566"
"100","100","32.3582038879395"
"250","20","16.9198684692383"
"250","50","15.3791446685791"
"250","100","14.3223876953125"
"500","20","8.66589641571045"
"500","50","7.87338256835938"
"500","100","7.33545064926147"
"0","0","1.5242600440979"
"25","20","8.0021448135376"
"25","50","6.89593505859375"
"25","100","5.32746553421021"
"100","20","3.26085114479065"
"100","50","2.97249054908752"
"100","100","2.3505551815033"
"250","20","1.46484768390656"
"250","50","1.36194062232971"
"250","100","1.10136306285858"
"500","20","1.46484768390656"
"500","50","1.36194062232971"
"500","100","1.10136306285858"
"0","0","2.21440362930298"
"25","20","4.80090236663818"
"25","50","4.16036510467529"
"25","100","2.05362844467163"
"100","20","2.47857785224915"
"100","50","2.36043810844421"
"100","100","1.16237545013428"
"250","20","2.47857785224915"
"250","50","2.36043810844421"
"250","100","1.16237545013428"
"500","20","2.47857785224915"
"500","50","2.36043810844421"
"500","100","1.16237545013428"
"0","0","19.4990615844727"
"25","20","152.370681762695"
"25","50","118.94457244873"
"25","100","97.1830520629883"
"100","20","84.2948150634766"
"100","50","73.2002944946289"
"100","100","46.5281219482422"
"250","20","37.0769500732422"
"250","50","31.9500102996826"
"250","100","19.9476833343506"
"500","20","19.4058074951172"
"500","50","17.1212596893311"
"500","100","10.9518270492554"
"0","0","17.9789962768555"
"25","20","152.49348449707"
"25","50","118.934539794922"
"25","100","97.3589782714844"
"100","20","78.2228012084961"
"100","50","65.7642211914062"
"100","100","37.6415023803711"
"250","20","32.984260559082"
"250","50","27.8620204925537"
"250","100","15.8649930953979"
"500","20","18.1068344116211"
"500","50","15.484395980835"
"500","100","9.15772151947021"
"0","0","72.3405914306641"
"25","20","360.392974853516"
"25","50","298.680816650391"
"25","100","148.284210205078"
"100","20","206.902542114258"
"100","50","177.567169189453"
"100","100","94.3148040771484"
"250","20","97.4613265991211"
"250","50","84.0812911987305"
"250","100","45.0605049133301"
"500","20","66.4512329101562"
"500","50","57.328426361084"
"500","100","32.7054672241211"
"0","0","11.1431140899658"
"25","20","57.886962890625"
"25","50","48.4679069519043"
"25","100","31.2598667144775"
"100","20","19.0221099853516"
"100","50","15.6157178878784"
