"Window Length","Window Start","Spectral Energy"
"0","0","0.188560724258423"
"25","20","0.857739925384521"
"25","50","0.770167768001556"
"25","100","0.778079032897949"
"100","20","0.503100633621216"
"100","50","0.466475427150726"
"100","100","0.450262576341629"
"250","20","0.227179065346718"
"250","50","0.211654111742973"
"250","100","0.204278558492661"
"500","20","0.186006933450699"
"500","50","0.173258557915688"
"500","100","0.167195469141006"
"0","0","0.191125094890594"
"25","20","0.830358564853668"
"25","50","0.745964348316193"
"25","100","0.75344181060791"
"100","20","0.485254496335983"
"100","50","0.449786484241486"
"100","100","0.433916389942169"
"250","20","0.215842589735985"
"250","50","0.200789198279381"
"250","100","0.19368389248848"
"500","20","0.18680427968502"
"500","50","0.177180677652359"
"500","100","0.170909449458122"
"0","0","0.205533966422081"
"25","20","0.846200406551361"
"25","50","0.76463371515274"
"25","100","0.776290237903595"
"100","20","0.489916354417801"
"100","50","0.454833328723907"
"100","100","0.439127027988434"
"250","20","0.216630071401596"
"250","50","0.201733529567719"
"250","100","0.194671437144279"
"500","20","0.20309454202652"
"500","50","0.189127817749977"
"500","100","0.182506874203682"
"0","0","0.180480778217316"
"25","20","0.866317272186279"
"25","50","0.777479887008667"
"25","100","0.779182195663452"
"100","20","0.500031650066376"
"100","50","0.464284002780914"
"100","100","0.447208553552628"
"250","20","0.223945453763008"
"250","50","0.208719208836555"
"250","100","0.200838699936867"
"500","20","0.176855728030205"
"500","50","0.164818033576012"
"500","100","0.161419749259949"
"0","0","0.173003450036049"
"25","20","0.840859591960907"
"25","50","0.752701759338379"
"25","100","0.75614732503891"
"100","20","0.475358098745346"
"100","50","0.439704984426498"
"100","100","0.423506289720535"
"250","20","0.208776891231537"
"250","50","0.193634167313576"
"250","100","0.186371698975563"
"500","20","0.170842185616493"
"500","50","0.161385849118233"
"500","100","0.155333518981934"
"0","0","0.22621738910675"
"25","20","0.862130582332611"
"25","50","0.780755341053009"
"25","100","0.795788049697876"
"100","20","0.514105975627899"
"100","50","0.478580981492996"
"100","100","0.46312427520752"
"250","20","0.227970629930496"
"250","50","0.212894842028618"
"250","100","0.205986127257347"
"500","20","0.223016783595085"
"500","50","0.208267897367477"
"500","100","0.205986529588699"
"0","0","0.24093633890152"
"25","20","0.864901721477509"
"25","50","0.786404311656952"
"25","100","0.803085803985596"
"100","20","0.514859259128571"
"100","50","0.479820400476456"
"100","100","0.464440196752548"
"250","20","0.238088473677635"
"250","50","0.22251184284687"
"250","100","0.215235754847527"
"500","20","0.238088473677635"
"500","50","0.22251184284687"
"500","100","0.215235754847527"
"0","0","0.191922500729561"
"25","20","0.670204818248749"
"25","50","0.609382808208466"
"25","100","0.622960865497589"
"100","20","0.399060726165771"
"100","50","0.371770977973938"
"100","100","0.360008627176285"
"250","20","0.189579993486404"
"250","50","0.17715784907341"
"250","100","0.17563334107399"
"500","20","0.189579993486404"
"500","50","0.17715784907341"
"500","100","0.17563334107399"
"0","0","0.193737924098969"
"25","20","0.8523970246315"
"25","50","0.770789921283722"
"25","100","0.78407496213913"
"100","20","0.49787962436676"
"100","50","0.462340146303177"
"100","100","0.446989566087723"
"250","20","0.220969468355179"
"250","50","0.205883279442787"
"250","100","0.198982656002045"
"500","20","0.191240653395653"
"500","50","0.178179919719696"
"500","100","0.175582513213158"
"0","0","0.305814236402512"
"25","20","0.671667158603668"
"25","50","0.623131811618805"
"25","100","0.475980281829834"
"100","20","0.407861799001694"
"100","50","0.373550176620483"
"100","100","0.26496085524559"
"250","20","0.290895313024521"
"250","50","0.276763170957565"
"250","100","0.210257455706596"
"500","20","0.290895313024521"
"500","50","0.276763170957565"
"500","100","0.210257455706596"
"0","0","0.271864324808121"
"25","20","0.75980132818222"
"25","50","0.680754005908966"
"25","100","0.696358203887939"
"100","20","0.880511939525604"
"100","50","0.878438532352448"
"100","100","0.891956508159637"
"250","20","0.657975733280182"
"250","50","0.640123128890991"
"250","100","0.630101203918457"
"500","20","0.346190005540848"
"500","50","0.337098985910416"
"500","100","0.332003772258759"
"0","0","0.106333933770657"
"25","20","0.831758797168732"
"25","50","0.879686832427979"
"25","100","0.668044984340668"
"100","20","0.566187262535095"
"100","50","0.542320787906647"
"100","100","0.420636653900146"
"250","20","0.256832391023636"
"250","50","0.244874209165573"
"250","100","0.189862698316574"
"500","20","0.131525337696075"
"500","50","0.125399634242058"
"500","100","0.0972376763820648"
"0","0","0.114058971405029"
"25","20","0.914878606796265"
"25","50","0.899617373943329"
"25","100","0.743668019771576"
"100","20","0.608963251113892"
"100","50","0.581516444683075"
"100","100","0.483798027038574"
"250","20","0.282181978225708"
"250","50","0.268158227205276"
"250","100","0.225061401724815"
"500","20","0.146031275391579"
"500","50","0.138805538415909"
"500","100","0.116534702479839"
"0","0","0.0215185061097145"
"25","20","0.10001789778471"
"25","50","0.0763317421078682"
"25","100","0.0512484908103943"
"100","20","0.0466421954333782"
"100","50","0.0364830009639263"
"100","100","0.0254864972084761"
"250","20","0.0209409240633249"
"250","50","0.0167651735246181"
"250","100","0.0120185827836394"
"500","20","0.0209409240633249"
"500","50","0.0167651735246181"
"500","100","0.0120185827836394"
"0","0","0.0387824662029743"
"25","20","0.0655098035931587"
"25","50","0.0326478481292725"
"25","100","0.0196084175258875"
"100","20","0.0355742014944553"
"100","50","0.0204315111041069"
"100","100","0.0128077594563365"
"250","20","0.0355742014944553"
"250","50","0.0204315111041069"
"250","100","0.0128077594563365"
"500","20","0.0355742014944553"
"500","50","0.0204315111041069"
"500","100","0.0128077594563365"
"0","0","0.325721859931946"
"25","20","1.51291978359222"
"25","50","1.65401589870453"
"25","100","1.49092280864716"
"100","20","1.30399036407471"
"100","50","1.16995048522949"
"100","100","0.898660480976105"
"250","20","0.593458533287048"
"250","50","0.531764388084412"
"250","100","0.397473365068436"
"500","20","0.311496436595917"
"500","50","0.285862326622009"
"500","100","0.219126030802727"
"0","0","0.319330394268036"
"25","20","1.51301658153534"
"25","50","1.65441715717316"
"25","100","1.49215257167816"
"100","20","1.27686536312103"
"100","50","1.15088379383087"
"100","100","0.845847487449646"
"250","20","0.559579372406006"
"250","50","0.497994393110275"
"250","100","0.363894999027252"
"500","20","0.308247834444046"
"500","50","0.277825057506561"
"500","100","0.211091086268425"
"0","0","0.239480659365654"
"25","20","1.15195620059967"
"25","50","1.20840692520142"
"25","100","0.204602047801018"
"100","20","0.642148554325104"
"100","50","0.606098711490631"
"100","100","0.291296243667603"
