Sample Id,Drum Machine,Dimension 1,Dimension 2,Dimension 3,Dimension 4
11,Ace Tone Rhythm-Ace,-2.485037076,4.363794866,8.781142634,5.807406881
12,Ace Tone Rhythm-Ace,-2.491569894,4.421290246,8.716665485,5.992580908
13,Ace Tone Rhythm-Ace,-1.740662571,4.827234414,10.00151841,9.11420412
14,Ace Tone Rhythm-Ace,-0.314825936,5.845285405,6.99089739,1.616015298
15,Ace Tone Rhythm-Ace,-1.32868769,3.311248753,9.650887015,6.04351878
16,Ace Tone Rhythm-Ace,-3.562017719,3.99080127,7.6818883,5.295007061
17,Ace Tone Rhythm-Ace,-3.872332558,3.804311801,8.426328686,6.859525218
21,Ace Tone Rhythm-Ace,-0.06927537,5.117035265,3.851791104,1.340527593
22,Ace Tone Rhythm-Ace,-1.206954322,5.971768712,7.50420204,6.335627972
23,Ace Tone Rhythm-Ace,-0.394584914,5.886866858,4.762532026,-0.7452786
25,Ace Tone Rhythm-King,-4.581995197,5.73093775,3.501666921,2.426262883
26,Ace Tone Rhythm-King,-5.401548362,2.400326073,-0.317582768,-0.381098065
28,Ace Tone Rhythm-Master,-5.769693549,5.366742504,3.09164294,1.621321609
29,Ace Tone Rhythm-Master,-6.835829926,4.520661573,3.379024642,3.12884619
32,AJK Percusyn,-0.814919198,4.892788394,-0.788551533,2.962660545
33,AJK Percusyn,-2.042698939,4.989873938,-1.5134425,1.952653935
36,Akai MPC-60,18.81785437,1.455286073,-4.657417329,1.519237429
37,Akai MPC-60,-2.317481999,-1.440564485,-0.855163084,-2.503582419
38,Akai MPC-60,1.893625163,-2.188690693,-1.472726049,-0.150154062
40,Akai MPC-60,19.00783265,1.466563019,-5.157758456,1.608592213
41,Akai MPC-60,-0.544121341,-3.51896937,-0.021285765,-3.024730982
42,Akai MPC-60,9.188239815,3.463115947,-6.207161031,3.902861718
48,Akai XE-8,-0.726045057,-3.837229153,1.693737879,0.562275988
49,Akai XE-8,-0.762395384,-0.863085899,-3.893488009,-0.298037255
50,Akai XE-8,-1.867799597,-0.793797092,-2.917315059,-1.078534721
51,Akai XE-8,-1.56794666,-1.815302651,-1.387496776,-1.127502219
56,Akai XE-8,-1.159804036,-1.458715688,-3.161263839,-1.515203571
57,Akai XE-8,-0.943247143,-2.475728387,-1.278046837,-1.035322711
58,Akai XE-8,0.038938428,-1.371658235,-4.086104448,-0.06131258
59,Akai XE-8,0.143546652,-4.853530879,2.123474266,0.672765976
70,Akai XR-10,2.311479016,3.028433223,-2.250218062,0.414771873
71,Akai XR-10,3.007243945,-0.376397461,-4.154283744,-0.8506461
72,Akai XR-10,1.588795262,-5.457513668,2.10972485,-1.052790427
73,Akai XR-10,3.693499752,2.526953927,-3.266420165,-0.468031879
