"Window Length","Window Start","HFC"
"0","0","345.875274658203"
"25","20","735.632568359375"
"25","50","656.557739257812"
"25","100","347.494750976562"
"100","20","363.665222167969"
"100","50","309.991638183594"
"100","100","163.017532348633"
"250","20","345.470642089844"
"250","50","294.487945556641"
"250","100","163.017532348633"
"500","20","345.470642089844"
"500","50","294.487945556641"
"500","100","163.017532348633"
"0","0","331.912567138672"
"25","20","740.555847167969"
"25","50","645.817749023438"
"25","100","385.671600341797"
"100","20","351.744934082031"
"100","50","299.847412109375"
"100","100","174.656967163086"
"250","20","334.140808105469"
"250","50","299.843505859375"
"250","100","174.656967163086"
"500","20","334.140808105469"
"500","50","299.843505859375"
"500","100","174.656967163086"
"0","0","372.402496337891"
"25","20","940.671691894531"
"25","50","826.355285644531"
"25","100","376.570037841797"
"100","20","452.411224365234"
"100","50","372.643768310547"
"100","100","140.321365356445"
"250","20","343.733581542969"
"250","50","294.895751953125"
"250","100","133.296539306641"
"500","20","343.733581542969"
"500","50","294.895751953125"
"500","100","133.296539306641"
"0","0","470.50830078125"
"25","20","1060.55358886719"
"25","50","953.167297363281"
"25","100","589.755798339844"
"100","20","501.926818847656"
"100","50","426.695831298828"
"100","100","241.87858581543"
"250","20","454.124206542969"
"250","50","405.361114501953"
"250","100","241.87858581543"
"500","20","454.124206542969"
"500","50","405.361114501953"
"500","100","241.87858581543"
"0","0","402.0205078125"
"25","20","854.192932128906"
"25","50","749.153564453125"
"25","100","428.379760742188"
"100","20","421.775177001953"
"100","50","359.887481689453"
"100","100","197.263702392578"
"250","20","381.534759521484"
"250","50","341.858459472656"
"250","100","197.263702392578"
"500","20","381.534759521484"
"500","50","341.858459472656"
"500","100","197.263702392578"
"0","0","262.960754394531"
"25","20","500.240447998047"
"25","50","461.377349853516"
"25","100","330.603088378906"
"100","20","258.347717285156"
"100","50","235.120269775391"
"100","100","168.8408203125"
"250","20","258.346466064453"
"250","50","235.120269775391"
"250","100","168.8408203125"
"500","20","258.346466064453"
"500","50","235.120269775391"
"500","100","168.8408203125"
"0","0","216.062683105469"
"25","20","482.906890869141"
"25","50","463.997924804688"
"25","100","316.908996582031"
"100","20","246.719543457031"
"100","50","230.396743774414"
"100","100","138.404800415039"
"250","20","213.039794921875"
"250","50","208.426193237305"
"250","100","138.404403686523"
"500","20","213.039794921875"
"500","50","208.426193237305"
"500","100","138.404403686523"
"0","0","350.253784179688"
"25","20","759.063049316406"
"25","50","668.390808105469"
"25","100","321.376434326172"
"100","20","361.562835693359"
"100","50","304.645416259766"
"100","100","147.710540771484"
"250","20","343.484710693359"
"250","50","304.645294189453"
"250","100","147.710540771484"
"500","20","343.484710693359"
"500","50","304.645294189453"
"500","100","147.710540771484"
"0","0","399.792541503906"
"25","20","812.728332519531"
"25","50","721.99951171875"
"25","100","373.5400390625"
"100","20","416.041473388672"
"100","50","348.554870605469"
"100","100","171.300262451172"
"250","20","376.419097900391"
"250","50","331.124298095703"
"250","100","171.300262451172"
"500","20","376.419097900391"
"500","50","331.124298095703"
"500","100","171.300262451172"
"0","0","212.657791137695"
"25","20","1022.4365234375"
"25","50","973.664245605469"
"25","100","525.667236328125"
"100","20","565.577697753906"
"100","50","513.158935546875"
"100","100","242.240951538086"
"250","20","249.277206420898"
"250","50","226.662216186523"
"250","100","109.607757568359"
"500","20","200.466400146484"
"500","50","185.586135864258"
"500","100","96.7645492553711"
"0","0","82.7176666259766"
"25","20","245.6103515625"
"25","50","215.98078918457"
"25","100","117.614433288574"
"100","20","139.327041625977"
"100","50","117.033935546875"
"100","100","55.3843154907227"
"250","20","83.0532379150391"
"250","50","71.8978042602539"
"250","100","37.5975532531738"
"500","20","83.0532379150391"
"500","50","71.8978042602539"
"500","100","37.5975532531738"
"0","0","11.2211561203003"
"25","20","19.5177001953125"
"25","50","16.7961082458496"
"25","100","8.89009094238281"
"100","20","10.3681535720825"
"100","50","8.85380077362061"
"100","100","4.99202299118042"
"250","20","10.3681535720825"
"250","50","8.85380077362061"
"250","100","4.99202299118042"
"500","20","10.3681535720825"
"500","50","8.85380077362061"
"500","100","4.99202299118042"
"0","0","12.1060495376587"
"25","20","46.8935089111328"
"25","50","47.411075592041"
"25","100","32.3167724609375"
"100","20","41.2532157897949"
"100","50","39.1311721801758"
"100","100","21.4709625244141"
"250","20","19.4731693267822"
"250","50","18.2824764251709"
"250","100","9.85936069488525"
"500","20","11.908935546875"
"500","50","11.3321237564087"
"500","100","6.66021823883057"
"0","0","2.86535668373108"
"25","20","8.31993389129639"
"25","50","5.66766309738159"
"25","100","6.41343450546265"
"100","20","7.99646806716919"
"100","50","7.03620195388794"
"100","100","7.0601487159729"
"250","20","4.46583271026611"
"250","50","4.04775810241699"
"250","100","3.97802519798279"
"500","20","3.01814198493958"
"500","50","2.73920488357544"
"500","100","2.7273907661438"
"0","0","201.328750610352"
"25","20","350.741577148438"
"25","50","282.855926513672"
"25","100","220.79638671875"
"100","20","270.770446777344"
"100","50","230.515884399414"
"100","100","103.406936645508"
"250","20","198.032211303711"
"250","50","175.200180053711"
"250","100","103.406936645508"
"500","20","198.032211303711"
"500","50","175.200180053711"
"500","100","103.406936645508"
